song_id,isrc,song_name,album_name,language,label,Main_Label,Sub_Label,Label_Identification,artist,album_id,total,file_name,income,admin_Exp,royality
"srch_pplmumbai_INR1L2100163","INR1L2100163","Hindustan","Hindustan","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Ajay Naik Ramaa Sagar Pratik Jathan Avinash Jadhav","srch_pplmumbai_000R000H7B22022","198","Mumbai","11.89440242","1.78416036","10.11024206"
"srch_pplmumbai_INR1L2100168","INR1L2100168","Ram Ram Japle","Ram Ram Japle","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Kamal Kishore","srch_pplmumbai_000R0RRJC362022","179","Mumbai","10.75302037","1.61295306","9.14006732"
"srch_pplmumbai_INR1L2100023","INR1L2100023","Hari Bin Tero","Suno Mhaaree Arjee","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Shobha Gurtu Sant Kabeerdas","srch_pplmumbai_000R0SMA3AF2021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100063","INR1L2100063","Chimbadalya Rani Vitthalacha Lala","Chimbadalya Rani Vitthalacha Lala","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Anandi Vikas Aaba Mahajan Ft Vishwas Ambekar Mahesh Jain","srch_pplmumbai_000RCRVL7352021","5","Mumbai","0.30036370","0.04505456","0.25530914"
"srch_pplmumbai_INR1L2100109","INR1L2100109","Scary Dance","Scary Dance","Unknown","RHYFIL","Danka Music","RHYFIL","PDL","Drummer Kd","srch_pplmumbai_000R00SD27F2021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100114","INR1L2100114","Sakha Krupavant","Sakha Krupavant","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Shweta Deshpande","srch_pplmumbai_000R00SKBE02021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100094","INR1L2100094","Sad Hi Spandananchi","Sad Hi Spandananchi","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Pallavi Patki Dhole","srch_pplmumbai_000R0SHS9F62021","13","Mumbai","0.78094561","0.11714184","0.66380377"
"srch_pplmumbai_INR1L2100018","INR1L2100018","Kuch Is Adaa Se","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ustad Taj Ahmed Khan Jigar","srch_pplmumbai_000R00SG6522021","48","Mumbai","2.88349150","0.43252372","2.45096777"
"srch_pplmumbai_INR1L2100192","INR1L2100192","Shivba","Shivba","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Ajay Naik Avinash Jadhav Sachin Gawali","srch_pplmumbai_000R000S0C62022","421","Mumbai","25.29062333","3.79359350","21.49702983"
"srch_pplmumbai_INR1L2100026","INR1L2100026","Main Kehi Samjhaaun","Suno Mhaaree Arjee","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ninu Mazumdar Sant Kabeerdas","srch_pplmumbai_000R0SMA3AF2021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100171","INR1L2100171","Om Jai Lakshmi Mata Aarti","Om Jai Lakshmi Mata Aarti","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Harbhajan Hari","srch_pplmumbai_000ROJLM9472022","235","Mumbai","14.11709378","2.11756407","11.99952972"
"srch_pplmumbai_INR1L2100012","INR1L2100012","Kabhi To Padh","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Siraj Ahmed Khan Saabir","srch_pplmumbai_000R00SG6522021","10","Mumbai","0.60072740","0.09010911","0.51061829"
"srch_pplmumbai_INR1L2100090","INR1L2100090","Tu Haslyawar","Zep","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Shefali Kulkarni Sakurikar","srch_pplmumbai_000R000ZD612021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INI112177838","INI112177838","You And I","You And I","English","RHYFIL","Danka Music","RHYFIL","PDL","Dhanashree Ganatra","srch_pplmumbai_000R0YAI7FA2021","3","Mumbai","0.18021822","0.02703273","0.15318549"
"srch_pplmumbai_INI112177837","INI112177837","Tanhaai","Tanhaai","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Dhanashree Ganatra","srch_pplmumbai_000R000TE412021","5","Mumbai","0.30036370","0.04505456","0.25530914"
